Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2022-08-14 01:55:48.353058912 +0000 UTC m=+0.584860293,1660442148,paymentservice-9cdb6588f-554sm,0.07318179849418291,0.3659004663036932,33.27734375,25.9979248046875,0,0,984.6493533802966,16569.025339081065,0.0044,0.0046,0.004699999999999999,0.0048,0.004939999999999999,0.00496,0.3333333333333333,0,1.115427998498253,7.730974810509822,7716
2022-08-14 01:56:48.339570832 +0000 UTC m=+60.571372189,1660442208,paymentservice-9cdb6588f-554sm,0.09351463374842835,0.4675495985761056,33.27734375,25.9979248046875,0,0,1173.7457140857882,22001.889300958646,0.004520000000000001,0.0046,0.0047599999999999995,0.0048,0.004952,0.00496,0.3333333333333333,0,1.1814310762254254,7.730389343127553,7699.833333333333
2022-08-14 01:57:48.238390172 +0000 UTC m=+120.470191526,1660442268,paymentservice-9cdb6588f-554sm,0.019666779655046936,0.0983289304113226,33.27734375,25.9979248046875,0,0,1003.3880483673112,18316.840936970617,0.0044666666666666665,0.0046,0.0047333333333333324,0.004799999999999999,0.004946666666666667,0.004960000000000001,0.26666666666666666,0,1.0943569608658166,7.7525395257567835,7668.133333333333
2022-08-14 01:58:48.154676996 +0000 UTC m=+180.386478351,1660442328,paymentservice-9cdb6588f-554sm,0.09795316505617564,0.4897424754402799,33.27734375,25.9979248046875,0,0,1161.6560728397183,18303.04071465384,0.004542857142857143,0.0046,0.0047714285714285706,0.004799999999999999,0.004954285714285715,0.004960000000000001,0.4666666666666667,0,7.461153204065917,14.399594661415675,5349890.5
2022-08-14 01:59:48.130171181 +0000 UTC m=+240.361972534,1660442388,paymentservice-9cdb6588f-554sm,0.056681026263715795,0.283392772077114,33.27734375,25.9979248046875,0,0,1493.3920704845814,26134.070318344275,0.004542857142857143,0.0046,0.0047714285714285706,0.004799999999999999,0.004954285714285715,0.004960000000000001,0.4666666666666667,0,7.104893915543197,18.54309369258913,5083046.066666666
2022-08-14 02:00:48.195616982 +0000 UTC m=+300.427418336,1660442448,paymentservice-9cdb6588f-554sm,0.0963474180366348,0.48170803063447515,33.27734375,25.9979248046875,0,0,1147.2826452959796,21184.92827799852,0.0046,0.0046,0.004799999999999999,0.004799999999999999,0.004960000000000001,0.004960000000000001,0.2,0,7.5572746206732155,23.817008266555494,5653817.666666667
2022-08-14 02:01:48.149502792 +0000 UTC m=+360.381304153,1660442508,paymentservice-9cdb6588f-554sm,0.07374455856266512,0.36873728321625,33.08203125,25.8453369140625,0,0,980.284999233873,16133.918994841411,0.0046,0.0046,0.0048,0.0048,0.00496,0.00496,0.39978678038379534,0,6.550608666058933,25.812817783766896,5334846.333333333
2022-08-14 02:02:48.310996471 +0000 UTC m=+420.542797827,1660442568,paymentservice-9cdb6588f-554sm,0.09788016807913351,0.48940084039566745,32.97265625,25.7598876953125,0,0,1076.433530470558,20156.916945230136,0.0046,0.0046,0.0048,0.0048,0.004959999999999999,0.004959999999999999,0.13333333333333333,0,7.532235414287181,25.802498921154378,5640269.5
2022-08-14 02:03:48.350058768 +0000 UTC m=+480.581860123,1660442628,paymentservice-9cdb6588f-554sm,0.07963574047541286,0.39816922187533804,32.97265625,25.7598876953125,0,0,1096.4688297938594,19493.990160054807,0.0046,0.0046,0.0048,0.0048,0.00496,0.00496,0.4,0,9.380448186408119,26.027952652277015,5163664.766666667
2022-08-14 02:04:48.436350598 +0000 UTC m=+540.668151951,1660442688,paymentservice-9cdb6588f-554sm,0.06206436215278061,0.31030635504725806,32.97265625,25.7598876953125,0,0,833.5747715622911,17364.776019612214,0.0046,0.0046,0.004799999999999999,0.004799999999999999,0.004960000000000001,0.004960000000000001,0.06666666666666667,0,7.2878974926856905,25.820184914993792,5307078.8
2022-08-14 02:05:48.392376267 +0000 UTC m=+600.624177622,1660442748,paymentservice-9cdb6588f-554sm,0.05853087849472247,0.2926423536037445,32.97265625,25.7598876953125,0,0,1168.4244791666667,20428.190104166668,0.0046,0.0046,0.0048,0.0048,0.00496,0.00496,0.4,0,6.790281329912251,25.840920218115876,5554648.066666666
2022-08-14 02:06:48.360561377 +0000 UTC m=+660.592362735,1660442808,paymentservice-9cdb6588f-554sm,0.16346395150873605,0.81731975754368,33.4921875,26.165771484375,0,0,1143.8766253401875,19099.06259449652,0.004533333333333333,0.0046,0.004766666666666666,0.0048,0.004953333333333333,0.00496,0.4,0,6.8433611726730454,25.813208095355073,5394027.566666666
2022-08-14 02:07:48.336240609 +0000 UTC m=+720.568041963,1660442868,paymentservice-9cdb6588f-554sm,0.08574412309217187,0.4287111110410742,33.4921875,26.165771484375,0,0,1244.1845764854613,19999.43109987358,0.0046,0.0046,0.0048,0.0048,0.00496,0.00496,0.13333333333333333,0,7.260810350715774,25.822063289511917,5491033.566666666
