Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2023-01-27 02:09:02.59260021 +0000 UTC m=+0.326589807,1674785342,ts-admin-route-service-59b758674f-g9fpj,9.23533810894867,1.8470676217897337,331.9296875,16.596484375,168,236,1261.2682173535372,34131.937071711225,0.0046,0,0.004799999999999999,0,0.004960000000000001,0,0,0,10.224533806697567,46.248967807800625,111154.66666666667
2023-01-27 02:10:02.491538986 +0000 UTC m=+60.225528581,1674785402,ts-admin-route-service-59b758674f-g9fpj,6.79997486315846,1.359994972631692,332.04296875,16.6021484375,60,60,754.5112639136877,13686.889792196938,0.0046,0,0.004799999999999999,0,0.004960000000000001,0,0,0,8.842961206259215,46.50645173487572,92988.46666666666
2023-01-27 02:11:02.609389679 +0000 UTC m=+120.343379326,1674785462,ts-admin-route-service-59b758674f-g9fpj,5.875661188480245,1.1751322376960491,332.02734375,16.6013671875,60,60,1270,35587.777777777774,0.0046,0,0.004799999999999999,0,0.004960000000000001,0,0,0,9.048949864293188,46.572024145674185,91681.13333333333
2023-01-27 02:12:02.526180905 +0000 UTC m=+180.260170500,1674785522,ts-admin-route-service-59b758674f-g9fpj,4.169627539136123,0.8338698007602681,332.00390625,16.6001953125,60,60,1022.9298447383553,25491.589994249567,0.0046,0,0.004799999999999999,0,0.004960000000000001,0,0,0,20.585960993327767,58.0680289367536,4366058.766666667
2023-01-27 02:13:02.504773751 +0000 UTC m=+240.238763346,1674785582,ts-admin-route-service-59b758674f-g9fpj,4.675452433333286,0.9350904866666572,332.26171875,16.6130859375,60,60,831.2406296851574,16816.43553223388,0.04,0,0.044999999999999984,0,0.049,0,0,0,8.704110979351952,58.11232934523948,98713.66666666667
2023-01-27 02:14:02.534799899 +0000 UTC m=+300.268789493,1674785642,ts-admin-route-service-59b758674f-g9fpj,3.5218194999998786,0.7043638999999757,332.51953125,16.6259765625,60,60.000000000000014,922.8749389350268,21703.529555446996,0.0046,0,0.004799999999999999,0,0.004960000000000001,0,0,0,15.879315494926471,57.42720986708658,1097477.5
2023-01-27 02:15:02.51383734 +0000 UTC m=+360.247826936,1674785702,ts-admin-route-service-59b758674f-g9fpj,7.6965183824453804,1.5393036764890762,332.515625,16.62578125,60,60,1295.3065134099618,33976.62835249042,0.0046,0,0.004799999999999999,0,0.004960000000000001,0,0,0,9.999999999773513,55.05296655392343,72739.46666666666
2023-01-27 02:16:02.555433945 +0000 UTC m=+420.289423539,1674785762,ts-admin-route-service-59b758674f-g9fpj,6.390635490371571,1.2781270980743142,332.90234375,16.6451171875,58,57.99999999999999,978.8551478822212,23455.76707726764,0.0046,0,0.004799999999999999,0,0.004960000000000001,0,0,0,13.885598240048292,55.38763467287588,84793.53333333334
2023-01-27 02:17:02.543305436 +0000 UTC m=+480.277295031,1674785822,ts-admin-route-service-59b758674f-g9fpj,7.46700583567836,1.4934011671356722,332.9609375,16.648046875,60,60,1197.4550631785016,31556.771667556506,0.0046,0,0.004799999999999999,0,0.004960000000000001,0,0,0,9.383866186516176,55.66700046471519,94956.66666666667
2023-01-27 02:18:02.512666895 +0000 UTC m=+540.246656489,1674785882,ts-admin-route-service-59b758674f-g9fpj,5.46158123010783,1.0922927453260145,332.9609375,16.648046875,60,60,820.8685785021662,18370.64163400041,0.0046,0,0.004799999999999999,0,0.004960000000000001,0,0,0,14.315493916215715,55.72091230543863,95054.53333333334
2023-01-27 02:19:02.523298766 +0000 UTC m=+600.257288360,1674785942,ts-admin-route-service-59b758674f-g9fpj,7.298628721447889,1.4597257442895777,333.08984375,16.6544921875,60.000000000000014,60,1174.3169398907103,32058.37887067395,0.0046,0,0.004799999999999999,0,0.004960000000000001,0,0,0,18.26802338155745,58.103864454410946,4487902.966666667
