Time,TimeStamp,PodName,CpuUsage(m),CpuUsageRate(%),MemoryUsage(Mi),MemoryUsageRate(%),SyscallRead,SyscallWrite,NetworkReceiveBytes,NetworkTransmitBytes,PodClientLatencyP90(s),PodServerLatencyP90(s),PodClientLatencyP95(s),PodServerLatencyP95(s),PodClientLatencyP99(s),PodServerLatencyP99(s),PodWorkload(Ops),PodSuccessRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%),NodeNetworkReceiveBytes
2023-01-27 02:09:04.934428259 +0000 UTC m=+2.668417853,1674785344,ts-user-service-687d654649-rrrbn,14.64820333710426,2.929640667420852,401.1640625,20.058203125,0,0,2094.993669370017,35460.390788077886,0.01750000000000001,0.020500000000000004,0.021250000000000005,0.02275,0.024249999999999997,0.024549999999999995,0.2,0,13.815734817729231,31.814938458780006,41215
2023-01-27 02:10:04.197585739 +0000 UTC m=+61.931575338,1674785404,ts-user-service-687d654649-rrrbn,6.7433069144318925,1.3486613828863785,403.65234375,20.1826171875,0,0,1256.722200697404,36655.32739248354,0.0046,NaN,0.0048,NaN,0.00496,NaN,0.06666666666666667,0,12.990246939198357,31.738047000879423,28819.566666666666
2023-01-27 02:11:04.46206719 +0000 UTC m=+122.196056799,1674785464,ts-user-service-687d654649-rrrbn,5.576452551791194,1.1152905103582387,403.54296875,20.1771484375,0,0,1440.1301518438179,34657.845263919015,0.0046,NaN,0.0048,NaN,0.00496,NaN,0.06666666666666667,0,13.221323376803095,31.833136754336426,30893.766666666666
2023-01-27 02:12:04.363875995 +0000 UTC m=+182.097865589,1674785524,ts-user-service-687d654649-rrrbn,6.520300207307328,1.3040600414614656,404.69140625,20.2345703125,0,0,1570.8479169018856,28230.43920063227,0.0046,0.0235,0.004799999999999999,0.02425,0.004960000000000001,0.02485,0.06666666666666667,0,22.837775638774893,40.07284197122181,7308013.633333334
2023-01-27 02:13:04.147054725 +0000 UTC m=+241.881044320,1674785584,ts-user-service-687d654649-rrrbn,5.039180347144536,1.0078360694289072,404.0859375,20.204296875,0,0,1299.436090225564,30086.09022556391,0.0044666666666666665,0.0235,0.0047333333333333324,0.02425,0.004946666666666667,0.02485,0,0,13.593925059102197,40.12394844466779,23838.933333333334
2023-01-27 02:14:04.340158081 +0000 UTC m=+302.074147676,1674785644,ts-user-service-687d654649-rrrbn,5.81810152852389,1.1636203057047778,404.34375,20.2171875,0,0,1365.2269581573623,34251.83660432268,0.009,0.0235,0.0095,0.02425,0.0099,0.02485,0.2,0,28.598460956581217,40.01268513899375,11013772.7
2023-01-27 02:15:03.984666757 +0000 UTC m=+361.718656351,1674785703,ts-user-service-687d654649-rrrbn,4.07360240143878,0.8147204802877559,404.84375,20.2421875,0,0,1312.8388017118402,36279.10128388017,0.0046,0.0235,0.0048000000000000004,0.02425,0.004959999999999999,0.024849999999999997,0.0666000666000666,0,13.16259183920636,39.781400902840375,29942.966666666667
2023-01-27 02:16:04.406589206 +0000 UTC m=+422.140578809,1674785764,ts-user-service-687d654649-rrrbn,6.210851266482705,1.242170253296541,405.54296875,20.2771484375,0,0,2590.393117457283,57848.66770223444,0.019,0.0235,0.021999999999999992,0.02425,0.0244,0.02485,0.13333333333333333,0,18.9423638332601,39.96423766583685,3779833.3666666667
2023-01-27 02:17:04.409380864 +0000 UTC m=+482.143370460,1674785824,ts-user-service-687d654649-rrrbn,114.97631267116064,22.99526253423213,405.9375,20.296875,0,0,2413.0602782071096,53895.78273349525,0.01750000000000001,0.0095,0.021250000000000005,0.00975,0.024249999999999997,0.009949999999999999,0.13333333333333333,0,15.305402150970792,40.22033110652223,40101.96666666667
2023-01-27 02:18:04.390295227 +0000 UTC m=+542.124284822,1674785884,ts-user-service-687d654649-rrrbn,124.63332655373617,24.926665310747236,409.3671875,20.468359375,0,0,2116.3483884005254,49949.0754774174,0.0046,0.0095,0.0048000000000000004,0.00975,0.00496,0.009949999999999999,0.13333333333333333,0,15.729637774152149,40.39367840977146,62801.4
